Day/Month/Year,BusStop,Pasengers
ศุกร์ที่ 5 สิงหาคม 2565,Building A Gate 6,98
จันทร์ที่ 8 สิงหาคม 2565,7-Eleven Stop,765
จันทร์ที่ 8 สิงหาคม 2565,ETC office ,582
จันทร์ที่ 8 สิงหาคม 2565,Building A Gate 6,76
อังคารที่ 9 สิงหาคม 2565,7-Eleven Stop,934
อังคารที่ 9 สิงหาคม 2565,ETC office ,651
อังคารที่ 9 สิงหาคม 2565,Building A Gate 6,95
พุธที่ 10 สิงหาคม 2565,7-Eleven Stop,851
พุธที่ 10 สิงหาคม 2565,ETC office ,663
พุธที่ 10 สิงหาคม 2565,Building A Gate 6,118
พฤหัสบดีที่ 11 สิงหาคม 2565,7-Eleven Stop,620
พฤหัสบดีที่ 11 สิงหาคม 2565,ETC office ,862
พฤหัสบดีที่ 11 สิงหาคม 2565,Building A Gate 6,120
จันทร์ที่ 15 สิงหาคม 2565,7-Eleven Stop,779
จันทร์ที่ 15 สิงหาคม 2565,ETC office ,640
จันทร์ที่ 15 สิงหาคม 2565,Building A Gate 6,145
อังคารที่ 16 สิงหาคม 2565,7-Eleven Stop,960
อังคารที่ 16 สิงหาคม 2565,ETC office ,651
อังคารที่ 16 สิงหาคม 2565,Building A Gate 6,651
พุธที่ 17 สิงหาคม 2565,7-Eleven Stop,1020
พุธที่ 17 สิงหาคม 2565,ETC office ,699
